run_id	timestamp	branch	idea_ref	files_touched	lines_added	lines_deleted	fixture_id	noncached_plus_output_tokens	cache_ratio	chunk_pressure_risk	avoidable_cost_flags	gate_pass_rate	feature_correct	wallclock_s	operator_turns	composite	composite_delta_pct	gates_passed	decision	notes	gates_json
ec68b9da-6f02-45e7-851a-ceaf71f0171b	2026-05-23T12:54:27Z	main		0	0	0	A	229431	1572.4646	False	[]	1.0	True	1422.43	25	229431		6/6		sha=2599d3b35a07 status=shipped	"{""cache_ratio_gt_5x_after_turn_2"": true, ""chunk_pressure_risk_false"": true, ""avoidable_cost_flags_empty"": true, ""gate_pass_rate_full"": true, ""feature_correct"": true, ""fully_shipped"": true}"
7aea8d3e-04ae-43d9-8943-cdfd99db8a3b	2026-05-23T13:35:32Z	main		0	0	0	A	222603	3238.6385	False	[]	0.6667	True	2449.66	25	222603		4/6		sha=2599d3b35a07 status=incomplete	{}
ba140d79-f288-4e38-b470-28e5c8195c56	2026-05-23T13:42:11Z	main		0	0	0	A	180235	3564.3966	False	[]	1.0	True	377.61	9	180235		6/6		sha=2599d3b35a07 status=shipped	"{""cache_ratio_gt_5x_after_turn_2"": true, ""chunk_pressure_risk_false"": true, ""avoidable_cost_flags_empty"": true, ""gate_pass_rate_full"": true, ""feature_correct"": true, ""fully_shipped"": true}"
a3e41fb3-58d1-4a12-a70d-33cf9f1ec583	2026-05-23T14:06:29Z	main		0	0	0	A	239825	3012.6993	False	[]	1.0	True	1433.4	25	239825		6/6		sha=2599d3b35a07 status=shipped	"{""cache_ratio_gt_5x_after_turn_2"": true, ""chunk_pressure_risk_false"": true, ""avoidable_cost_flags_empty"": true, ""gate_pass_rate_full"": true, ""feature_correct"": true, ""fully_shipped"": true}"
7f24b3bb-7219-43c1-9fa8-ab8d1829f565	2026-05-23T14:15:14Z	main		0	0	0	A	195025	2034.1084	False	[]	0.6667	True	504.75	14	195025		4/6		sha=2599d3b35a07 status=crash	{}
b02db562-9e94-41e6-a45b-f6091da5c8c7	2026-05-23T21:57:58Z	main		0	0	0	B	249667	2689.1815	False	[]	0.6667	True	2321.23	25	249667		4/6		sha=9ff5d76b3c00 status=incomplete	{}
2d6a24b5-a9c0-4494-8124-82321382b5be	2026-05-24T05:33:08Z	main		0	0	0	B	6838	1.0	False	[]	0.5	True	152.33	5	6838		3/6		sha=35a3ae4e3123 status=crash	{}
41ef5a63-2cf5-41b5-85a8-be91253c8333	2026-05-24T08:34:24Z	main		0	0	0	A	0	0		[]	0.3333	True	120.33	0	0		2/6		sha=fbc9358df6ee status=crash	{}
6706af67-a1e1-4b3f-8f88-fe63efd1efd9	2026-05-24T19:02:06Z	main		0	0	0	A	21285	1168.43	False	[]	1.0	True	379.72	11	21285		6/6		sha=97565bbec060 status=shipped	"{""cache_ratio_gt_5x_after_turn_2"": true, ""chunk_pressure_risk_false"": true, ""avoidable_cost_flags_empty"": true, ""gate_pass_rate_full"": true, ""feature_correct"": true, ""fully_shipped"": true}"
d4f6be7b-1885-4b77-ade0-b61804fed6f2	2026-05-24T19:09:52Z	main		0	0	0	A	25463	1407.8761	False	[]	1.0	True	422.41	10	25463		6/6		sha=97565bbec060 status=shipped	"{""cache_ratio_gt_5x_after_turn_2"": true, ""chunk_pressure_risk_false"": true, ""avoidable_cost_flags_empty"": true, ""gate_pass_rate_full"": true, ""feature_correct"": true, ""fully_shipped"": true}"
